test_name,is_coincidentally_correct
tests/basic_correctness/test_basic_correctness.py::test_failed_model_execution,False
tests/basic_correctness/test_basic_correctness.py::test_models,True
tests/basic_correctness/test_basic_correctness.py::test_models_distributed,True
tests/basic_correctness/test_basic_correctness.py::test_vllm_gc_ed,False
tests/basic_correctness/test_cpu_offload.py::test_cpu_offload,False
tests/basic_correctness/test_mem.py::test_basic_cumem,False
tests/basic_correctness/test_mem.py::test_cumem_with_cudagraph,False
tests/basic_correctness/test_mem.py::test_deep_sleep,False
tests/basic_correctness/test_mem.py::test_deep_sleep_async,False
tests/basic_correctness/test_mem.py::test_deep_sleep_fp8_kvcache,False
tests/basic_correctness/test_mem.py::test_end_to_end,False
tests/basic_correctness/test_mem.py::test_python_error,False
tests/basic_correctness/test_prefetch_offload.py::test_prefetch_offload_llama,False
tests/compile/correctness_e2e/test_async_tp.py::test_async_tp_pass_correctness,True
tests/compile/correctness_e2e/test_async_tp.py::test_async_tp_pass_nvfp4_correctness,True
tests/compile/correctness_e2e/test_sequence_parallel.py::test_tp_sp_generation,True
tests/compile/correctness_e2e/test_sequence_parallel.py::test_tp_sp_generation_prompt_embeds,True
tests/compile/correctness_e2e/test_sequence_parallel.py::test_tp_sp_nvfp4_generation,True
tests/distributed/test_comm_ops.py::test_async_intermediate_tensors_lazy_wait,False
tests/distributed/test_comm_ops.py::test_irecv_tensor_dict_send_allgather_postprocess_binds_keys,False
tests/distributed/test_comm_ops.py::test_multi_process_pipeline_parallel,False
tests/distributed/test_comm_ops.py::test_multi_process_tensor_parallel,False
tests/distributed/test_comm_ops.py::test_multi_process_tensor_parallel_pipeline_parallel,False
tests/distributed/test_context_parallel.py::test_cp_generation,False
tests/distributed/test_custom_all_reduce.py::test_custom_allreduce,False
tests/distributed/test_dcp_a2a.py::test_a2a_requires_dcp_greater_than_1,False
tests/distributed/test_dcp_a2a.py::test_a2a_with_dcp_valid,False
tests/distributed/test_dcp_a2a.py::test_ag_rs_with_dcp_1_valid,False
tests/distributed/test_dcp_a2a.py::test_base2_return_lse,False
tests/distributed/test_dcp_a2a.py::test_default_is_ag_rs,False
tests/distributed/test_dcp_a2a.py::test_distributed_packed_a2a_matches_reference,False
tests/distributed/test_dcp_a2a.py::test_distributed_packed_a2a_with_workspace_matches_reference,False
tests/distributed/test_dcp_a2a.py::test_dominant_rank,False
tests/distributed/test_dcp_a2a.py::test_equal_lse,False
tests/distributed/test_dcp_a2a.py::test_importable,False
tests/distributed/test_dcp_a2a.py::test_invalid_backend_rejected,False
tests/distributed/test_dcp_a2a.py::test_lse_pack_dim,False
tests/distributed/test_dcp_a2a.py::test_mathematically_correct,False
tests/distributed/test_dcp_a2a.py::test_pack_unpack_combine_matches_reference,False
tests/distributed/test_dcp_a2a.py::test_return_lse,False
tests/distributed/test_dcp_a2a.py::test_single_rank,False
tests/distributed/test_distributed_oot.py::test_distributed_oot,False
tests/distributed/test_elastic_ep.py::test_elastic_ep_scaling,False
tests/distributed/test_elastic_ep.py::test_elastic_ep_scaling_uneven,False
tests/distributed/test_eplb_algo.py::test_additional_cases,False
tests/distributed/test_eplb_algo.py::test_basic_rebalance,False
tests/distributed/test_eplb_algo.py::test_compute_logical_maps_with_negative_indices,False
tests/distributed/test_eplb_algo.py::test_device_compatibility,False
tests/distributed/test_eplb_algo.py::test_equal_weights,False
tests/distributed/test_eplb_algo.py::test_extreme_weight_imbalance,False
tests/distributed/test_eplb_algo.py::test_global_load_balance_fallback,False
tests/distributed/test_eplb_algo.py::test_multiple_layers,False
tests/distributed/test_eplb_algo.py::test_parameter_validation,False
tests/distributed/test_eplb_algo.py::test_preserve_intragpu_slots,False
tests/distributed/test_eplb_algo.py::test_single_gpu_case,False
tests/distributed/test_eplb_algo.py::test_small_scale_hierarchical,False
tests/distributed/test_eplb_events.py::test_producer_consumer,False
tests/distributed/test_eplb_events.py::test_reuse_across_multiple_cycles,False
tests/distributed/test_eplb_events.py::test_wait_blocks_until_record,False
tests/distributed/test_eplb_execute.py::test_async_transfer_layer_without_mtp,False
tests/distributed/test_eplb_execute.py::test_rearrange_expert_weights_no_change,False
tests/distributed/test_eplb_execute.py::test_rearrange_expert_weights_profile_mode,False
tests/distributed/test_eplb_execute.py::test_rearrange_expert_weights_with_redundancy,False
tests/distributed/test_eplb_fused_moe_layer.py::test_eplb_fml,False
tests/distributed/test_eplb_fused_moe_layer_dep_nvfp4.py::test_eplb_fml,False
tests/distributed/test_eplb_spec_decode.py::test_eplb_spec_decode,False
tests/distributed/test_eplb_spec_decode.py::test_eplb_spec_decode_qwen3_next_mtp_async,False
tests/distributed/test_eplb_utils.py::test_commit_eplb_maps,False
tests/distributed/test_eplb_utils.py::test_commit_eplb_maps_for_layer,False
tests/distributed/test_eplb_utils.py::test_commit_eplb_maps_for_layer_logical_padding,False
tests/distributed/test_eplb_utils.py::test_commit_eplb_maps_for_layer_shape_assert,False
tests/distributed/test_eplb_utils.py::test_commit_eplb_maps_shape_change,False
tests/distributed/test_events.py::test_basic_publishing,False
tests/distributed/test_events.py::test_buffer_limit,False
tests/distributed/test_events.py::test_data_parallel_rank_tagging,False
tests/distributed/test_events.py::test_event_publisher_factory,False
tests/distributed/test_events.py::test_high_volume,False
tests/distributed/test_events.py::test_multiple_events,False
tests/distributed/test_events.py::test_null_publisher,False
tests/distributed/test_events.py::test_replay_mechanism,False
tests/distributed/test_events.py::test_topic_filtering,False
tests/distributed/test_expert_parallel.py::test_ep,True
tests/distributed/test_expert_placement.py::test_determine_expert_map_comprehensive,False
tests/distributed/test_expert_placement.py::test_expert_placement_edge_cases,False
tests/distributed/test_expert_placement.py::test_expert_placement_various_sizes,False
tests/distributed/test_kv_cache_events.py::test_block_removed_default_group_idx_is_none,False
tests/distributed/test_kv_cache_events.py::test_block_removed_hash_differs_by_group_idx,False
tests/distributed/test_kv_cache_events.py::test_block_removed_hash_same_for_equal_group_idx,False
tests/distributed/test_kv_cache_events.py::test_block_stored_default_group_idx_is_none,False
tests/distributed/test_kv_cache_events.py::test_block_stored_hash_differs_by_group_idx,False
tests/distributed/test_kv_cache_events.py::test_block_stored_hash_differs_by_sliding_window,False
tests/distributed/test_kv_cache_events.py::test_block_stored_hash_same_for_equal_group_idx,False
tests/distributed/test_kvlayout.py::test_get_kv_connector_cache_layout_with_lmcache_connector,False
tests/distributed/test_kvlayout.py::test_get_kv_connector_cache_layout_with_multi_connector,False
tests/distributed/test_kvlayout.py::test_get_kv_connector_cache_layout_with_nixl_connector,False
tests/distributed/test_kvlayout.py::test_get_kv_connector_cache_layout_without_kv_connector,False
tests/distributed/test_mnnvl_alltoall.py::test_args_dispatch_combine,False
tests/distributed/test_mnnvl_alltoall.py::test_deepep_v2_manager_lifecycle,False
tests/distributed/test_mnnvl_alltoall.py::test_one_sided_dispatch_combine,False
tests/distributed/test_mnnvl_alltoall.py::test_one_sided_manager_lifecycle,False
tests/distributed/test_mnnvl_alltoall.py::test_one_sided_manager_workspace_grow,False
tests/distributed/test_mnnvl_alltoall.py::test_two_sided_dispatch_combine,False
tests/distributed/test_mnnvl_alltoall.py::test_two_sided_manager_lifecycle,False
tests/distributed/test_mq_connect_ip.py::test_mq_bind_defaults_to_local_ip,False
tests/distributed/test_mq_connect_ip.py::test_mq_bind_with_local_ip,False
tests/distributed/test_mq_connect_ip.py::test_mq_bind_with_non_local_ip_fails,False
tests/distributed/test_multi_node_assignment.py::test_multi_node_assignment,False
tests/distributed/test_multiproc_executor.py::test_multiproc_executor_collective_rpc,False
tests/distributed/test_multiproc_executor.py::test_multiproc_executor_failure_callback,False
tests/distributed/test_multiproc_executor.py::test_multiproc_executor_get_response_message_queues,False
tests/distributed/test_multiproc_executor.py::test_multiproc_executor_initialization,False
tests/distributed/test_multiproc_executor.py::test_multiproc_executor_initialization_tensor_parallel,False
tests/distributed/test_multiproc_executor.py::test_multiproc_executor_multi_node,False
